,Name,Gender
0,آدم,Male
1,آسر,Male
2,أبد,Male
3,أبدع,Male
4,أبره,Male
5,أبسل,Male
6,أبسم,Male
7,أبشر,Male
8,أبلج,Male
9,أبي,Male
10,أجاد,Male
11,أجزل,Male
12,أجمل,Male
13,أجوب,Male
14,أجود,Male
15,أحسب,Male
16,أحسن,Male
17,أحشم,Male
18,أحمد,Male
19,أحيد,Male
20,أخزم,Male
21,أخير,Male
22,أخيل,Male
23,أُدد,Male
24,أدرد,Male
25,أدرم,Male
26,أدغم,Male
27,أدلم,Male
28,أدهم,Male
29,أديب,Male
30,أربد,Male
31,أرجح,Male
32,أرجوان,Male
33,أرحب,Male
34,أرحم,Male
35,أرسلان,Male
36,أرشد,Male
37,أرغد,Male
38,أرقم,Male
39,أركان,Male
40,أريج,Male
41,أزهد,Male
42,أزهر,Male
43,أسامة,Male
44,أسد,Male
45,أسعد,Male
46,أسلع,Male
47,أسلم,Male
48,أسمح,Male
49,أسهم,Male
50,أسيد,Male
51,أشرف,Male
52,أشهم,Male
53,أصلان,Male
54,أعز,Male
55,أغلب,Male
56,أفخر,Male
57,أفخم,Male
58,أفصح,Male
59,أفضل,Male
60,أفقه,Male
61,أكثم,Male
62,أكرم,Male
63,أكمل,Male
64,ألمع,Male
65,ألمعي,Male
66,أليف,Male
67,أماثل,Male
68,أمجد,Male
69,أمية,Male
70,أمير,Male
71,أمين,Male
72,أنجب,Male
73,أنجح,Male
74,أنس,Male
75,أنف,Male
76,أنوار,Male
77,أنور,Male
78,أنوس,Male
79,أنيس,Male
80,أهيف,Male
81,أهيم,Male
82,أوس,Male
83,أويس,Male
84,أيهم,Male
85,أيوب,Male
86,إبراهيم,Male
87,إحسان,Male
88,إدام,Male
89,إدريس,Male
90,إسحاق,Male
91,إسماعيل,Male
92,إعجاز,Male
93,إكليل,Male
94,إلفي,Male
95,إلياس,Male
96,إمام,Male
97,إياس,Male
98,إيمان,Male
99,إيهاب,Male
100,ابد,Male
101,ابدع,Male
102,ابراهيم,Male
103,ابره,Male
104,ابسل,Male
105,ابسم,Male
106,ابشر,Male
107,ابلج,Male
108,ابي,Male
109,اجاد,Male
110,اجزل,Male
111,اجمل,Male
112,اجوب,Male
113,اجود,Male
114,احسان,Male
115,احسب,Male
116,احسن,Male
117,احشم,Male
118,احمد,Male
119,احيد,Male
120,اخزم,Male
121,اخير,Male
122,اخيل,Male
123,ادام,Male
124,اُدد,Male
125,ادرد,Male
126,ادرم,Male
127,ادريس,Male
128,ادغم,Male
129,ادلم,Male
130,ادم,Male
131,ادهم,Male
132,اديب,Male
133,اربد,Male
134,ارجح,Male
135,ارجوان,Male
136,ارحب,Male
137,ارحم,Male
138,ارسلان,Male
139,ارشد,Male
